_id,bathroom_num,bedroom_num,bizcircle_name,city,dist,distance,frame_orientation,hall_num,house_tag,house_title,rent_area,rent_price_listing,rent_price_unit,resblock_name,type
5c71f38d397be4c5251c2f01,1,1,东圃,广州,天河,,东,1,随时看房,纵横白领公寓 1室1厅 1800元https://m.lianjia.com/chuzu/gz/zufang/GZ2089529258464002048.html,38,1800,元/月,纵横白领公寓,整租
5c721b9c397be4c5251c9570,1,1,三元里,广州,白云,,南,0,独栋公寓 拎包入住 近地铁,米阁公寓 永泰南店 仁厚里，安全舒适 开间https://m.lianjia.com/chuzu/gz/apartment/layout/53781.html,21,700-1000,元/月,,整租
5c71cee6397be4c5251bf346,1,3,赤岗,广州,海珠,,南 北,2,新上,金穗东苑 3室2厅 6800元https://m.lianjia.com/chuzu/gz/zufang/GZ2194153961764954112.html,120,6800,元/月,金穗东苑,整租
5c71d5d9397be4c5251c0566,1,1,市桥,广州,番禺,261.0,南,1,近地铁 新上,怡乐园(番禺) 1室1厅 1600元https://m.lianjia.com/chuzu/gz/zufang/GZ2194098002241519616.html,45,1600,元/月,怡乐园(番禺),整租
5c725e76397be4c5251d3d8e,1,1,新市,广州,白云,,东南,0,随时看房,新市花园一区 1室0厅 900元https://m.lianjia.com/chuzu/gz/zufang/GZ2147590569667870720.html,25,900,元/月,新市花园一区,整租
5c71f654397be4c5251c37fa,1,1,黄埔区府,广州,天河,1018.0,南,1,近地铁 随时看房,中交港湾国际 1室1厅 3800元 复式https://m.lianjia.com/chuzu/gz/zufang/GZ2102127236890509312.html,52,3800,元/月,中交港湾国际,整租
5c71fdb4397be4c5251c3fc4,1,1,京溪,广州,白云,654.0,南 北,1,近地铁,天河御品 1室1厅 3000元https://m.lianjia.com/chuzu/gz/zufang/GZ2166679082782433280.html,42,3000,元/月,天河御品,整租
5c722b93397be4c5251cb949,2,3,滨江东,广州,海珠,975.0,南,2,近地铁,海琴湾 3室2厅 6800元https://m.lianjia.com/chuzu/gz/zufang/GZ2134535703458226176.html,110,6800,元/月,海琴湾,整租
5c721d61397be4c5251c99c3,1,2,同德围,广州,白云,,南 北,1,,白云雅苑云雅五街 2室1厅 2200元https://m.lianjia.com/chuzu/gz/zufang/GZ2117206081372962816.html,73,2200,元/月,白云雅苑云雅五街,整租
5c720b7e397be4c5251c68b3,1,2,体育中心,广州,天河,309.0,东,1,近地铁,光华大厦 2室1厅 4000元https://m.lianjia.com/chuzu/gz/zufang/GZ2104295853270777856.html,88,4000,元/月,光华大厦,整租
5c723d41397be4c5251ce830,1,2,祈福新村,广州,番禺,,北,2,随时看房,祈福新村海晴居 2室2厅 2500元https://m.lianjia.com/chuzu/gz/zufang/GZ2139208007069220864.html,60,2500,元/月,祈福新村海晴居,整租
5c7215a2397be4c5251c8510,1,2,东川路,广州,越秀,413.0,东南,1,近地铁,东川路牛乳基 2室1厅 3300元https://m.lianjia.com/chuzu/gz/zufang/GZ2178253273897902080.html,55,3300,元/月,东川路牛乳基,整租
5c71c447397be4c5251bd282,1,1,滘口,广州,荔湾,,东南,0,独栋公寓 押一付一,万科泊寓 海浩店 复式大房春季特价 开间https://m.lianjia.com/chuzu/gz/apartment/layout/32451.html,25,1250,元/月,,整租
5c71cda1397be4c5251bef0a,1,1,广州大道南,广州,海珠,,南,0,独栋公寓 月租,亚特兰斯国际公寓 合生广场店 佰合合生广场店 单间 开间https://m.lianjia.com/chuzu/gz/apartment/layout/63709.html,45,6600,元/月,,整租
5c720bd0397be4c5251c6978,1,2,天润路,广州,天河,,南,1,随时看房,金鼎大厦 龙口西两房 安静舒适https://m.lianjia.com/chuzu/gz/zufang/GZ2061446800782934016.html,69,4200,元/月,金鼎大厦,整租
5c720bc6397be4c5251c6956,1,1,天润路,广州,天河,540.0,东,0,近地铁 随时看房,鸿翔大厦 1室0厅 4000元https://m.lianjia.com/chuzu/gz/zufang/GZ2173069433290375168.html,42,4000,元/月,鸿翔大厦,整租
5c724027397be4c5251cf0b5,2,3,市桥,广州,番禺,711.0,南,2,近地铁 精装 双卫生间 随时看房,整租 · 北城白云花园 3室2厅 4000元https://m.lianjia.com/chuzu/gz/zufang/GZ2181831212299976704.html,133,4000,元/月,北城白云花园,整租
5c7222bc397be4c5251ca4bd,1,3,东塱,广州,荔湾,,南,1,,金宇花园 3室1厅 2300元https://m.lianjia.com/chuzu/gz/zufang/GZ2047820286136688640.html,72,2300,元/月,金宇花园,整租
5c724b8c397be4c5251d13db,1,1,江夏,广州,白云,216.0,南,1,近地铁 新上,汇和大厦 1室1厅 2700元https://m.lianjia.com/chuzu/gz/zufang/GZ2194838921044049920.html,38,2700,元/月,汇和大厦,整租
5c726e55397be4c5251d6649,1,3,香雪,广州,增城,,东南,2,随时看房,中海誉城北苑 3室2厅 3400元https://m.lianjia.com/chuzu/gz/zufang/GZ2151980032711458816.html,96,3400,元/月,中海誉城北苑,整租
5c722602397be4c5251cacc4,1,2,滘口,广州,荔湾,1058.0,北,1,,塞坝路 低层二房 家私家电齐https://m.lianjia.com/chuzu/gz/zufang/GZ2027985883474698240.html,60,2300,元/月,塞坝路,整租
5c72003a397be4c5251c47f0,1,2,科学城,广州,增城,,北,2,,万科山景城 2室2厅 2300元https://m.lianjia.com/chuzu/gz/zufang/GZ2095675063264624640.html,65,2300,元/月,万科山景城,整租
5c7244f9397be4c5251cff18,1,2,亚运城,广州,番禺,769.0,北,2,近地铁,亚运城媒体南村 2室2厅 2900元https://m.lianjia.com/chuzu/gz/zufang/GZ2178133366950330368.html,77,2900,元/月,亚运城媒体南村,整租
5c71a9ed397be4c5251b8e70,1,1,东圃,广州,天河,,北,1,独栋公寓 月租 拎包入住 近地铁 押一付一,乐乎城市青年社区 东圃店 一房一厅https://m.lianjia.com/chuzu/gz/apartment/layout/102990.html,40,2300,元/月,,整租
5c721cba397be4c5251c97a8,1,2,同德围,广州,白云,,南,1,,富德居 2室1厅 1500元https://m.lianjia.com/chuzu/gz/zufang/GZ2192677130028974080.html,45,1500,元/月,富德居,整租
5c723611397be4c5251cd408,2,3,大石,广州,番禺,414.0,南,2,近地铁 新上,新月明珠花园 3室2厅 5000元https://m.lianjia.com/chuzu/gz/zufang/GZ2197762273202937856.html,106,5000,元/月,新月明珠花园,整租
5c71bc64397be4c5251bbc23,1,2,西门口,广州,荔湾,316.0,东,1,近地铁,净慧路 2室1厅 3500元https://m.lianjia.com/chuzu/gz/zufang/GZ2193414878398783488.html,65,3500,元/月,净慧路,整租
5c7273f9397be4c5251d7680,2,5,,广州,天河,,东,1,精装 独立阳台 随时看房,合租 ·  5室1厅https://m.lianjia.com/chuzu/gz/zufang/GZ2189534512625754112.html,12,2200,元/月,,合租
5c71ca61397be4c5251be3c4,1,2,金碧,广州,海珠,50.0,北,2,近地铁 随时看房,晓港湾惠侨苑 2室2厅 3500元https://m.lianjia.com/chuzu/gz/zufang/GZ2193345061440192512.html,56,3500,元/月,晓港湾惠侨苑,整租
5c724835397be4c5251d092c,1,2,花东镇,广州,白云,,南,2,,富力金港城南区 2室2厅 1700元https://m.lianjia.com/chuzu/gz/zufang/GZ2172332684171821056.html,84,1700,元/月,富力金港城南区,整租
5c71ce31397be4c5251bf104,1,1,昌岗,广州,海珠,8.0,南,1,近地铁 随时看房,昌岗中路 1室1厅 1300元https://m.lianjia.com/chuzu/gz/zufang/GZ2115841414234914816.html,41,1300,元/月,昌岗中路,整租
5c71accb397be4c5251b9919,1,2,黄村,广州,天河,,东,1,独栋公寓,世联红璞公寓 广州中邦产业园项目-A栋 双人欧美式两房loft 二居+https://m.lianjia.com/chuzu/gz/apartment/layout/52498.html,50,3218,元/月,,整租
